"plast","plast_2","JSD","pos_cycle","network","JSD_id"
0.0977,0.2126,0.459522849878058,4,"Randomization/NRF2",-1
0.1692,0.2994,0.450582095104384,5,"Randomization/NRF2",-1
0.094,0.3432,0.421707512390999,6,"Randomization/NRF2",-1
0.2565,0.4441,0.0825663747466922,7,"Randomization/NRF2",-3
0.0634,0.2077,0.35106817225294,6,"Randomization/NRF2",-2
0.0571,0.1768,0.396117794113208,5,"Randomization/NRF2",-1
0.0622,0.2015,0.274051904995223,4,"Randomization/NRF2",-2
0.0836,0.21,0.201459372102012,4,"Randomization/NRF2",-2
0.1086,0.2527,0.252207881919757,6,"Randomization/NRF2",-2
0.0476,0.1627,0.294490366062547,5,"Randomization/NRF2",-2
0.0839,0.2232,0.214608525241337,6,"Randomization/NRF2",-2
0.1278,0.4067,0.296758696561089,6,"Randomization/NRF2",-2
0.0566,0.1783,0.328764587581665,3,"Randomization/NRF2",-2
0.0759,0.201,0.452180297957497,6,"Randomization/NRF2",-1
0.0603,0.2267,0.318805688461596,5,"Randomization/NRF2",-2
0.0859,0.2691,0.301256250747852,7,"Randomization/NRF2",-2
0.1066,0.2686,0.286048005168937,7,"Randomization/NRF2",-2
0.0518,0.1663,0.270813103012313,4,"Randomization/NRF2",-2
0.0759,0.2224,0.256141419853445,5,"Randomization/NRF2",-2
0.3094,0.4808,0.301622818878783,6,"Randomization/NRF2",-2
0.4389,0.5102,0.601878285214222,9,"Randomization/NRF2",-1
0.4075,0.5561,0.0960852352541228,6,"Randomization/NRF2",-3
0.5511,0.6398,0.027217745378461,8,"Randomization/NRF2",-4
0.6505,0.7128,0.129972507455457,10,"Randomization/NRF2",-3
0.2924,0.3987,0.0363673645878798,7,"Randomization/NRF2",-4
0.1155,0.2236,0.488285301912698,6,"Randomization/NRF2",-1
0.0994,0.2645,0.322706512784444,3,"Randomization/NRF2",-2
0.1337,0.2719,0.269211777148805,5,"Randomization/NRF2",-2
0.2042,0.3348,0.318398335408728,7,"Randomization/NRF2",-2
0.0755,0.1822,0.281073104095256,4,"Randomization/NRF2",-2
0.1297,0.2685,0.262311609928391,5,"Randomization/NRF2",-2
0.111,0.2237,0.489065763457502,6,"Randomization/NRF2",-1
0.0914,0.2121,0.447386254422478,4,"Randomization/NRF2",-1
0.1332,0.2441,0.477118133253809,6,"Randomization/NRF2",-1
0.3805,0.462,0.598974733941941,9,"Randomization/NRF2",-1
